,date,visitor_team,visitor_team_points,home_team,home_team_points,attendance,arena
0,20150101,Denver Nuggets,101,Chicago Bulls,106,"21,794",United Center
1,20150101,Sacramento Kings,110,Minnesota Timberwolves,107,"13,337",Target Center
2,20150102,Cleveland Cavaliers,91,Charlotte Hornets,87,"19,307",Time Warner Cable Arena
3,20150102,Brooklyn Nets,100,Orlando Magic,98,"17,008",Amway Center
4,20150102,Dallas Mavericks,119,Boston Celtics,101,"18,624",TD Garden
5,20150102,Detroit Pistons,97,New York Knicks,81,"19,812",Madison Square Garden (IV)
6,20150102,Houston Rockets,83,New Orleans Pelicans,111,"17,705",Smoothie King Center
7,20150102,Washington Wizards,102,Oklahoma City Thunder,109,"18,203",Chesapeake Energy Arena
8,20150102,Indiana Pacers,94,Milwaukee Bucks,91,"16,238",BMO Harris Bradley Center
9,20150102,Philadelphia 76ers,96,Phoenix Suns,112,"16,514",US Airways Center
10,20150102,Atlanta Hawks,98,Utah Jazz,92,"19,029",EnergySolutions Arena
11,20150102,Toronto Raptors,105,Golden State Warriors,126,"19,596",Oracle Arena
12,20150102,Memphis Grizzlies,109,Los Angeles Lakers,106,"18,997",STAPLES Center
13,20150103,Charlotte Hornets,98,Orlando Magic,90,"15,274",Amway Center
14,20150103,Boston Celtics,104,Chicago Bulls,109,"21,820",United Center
15,20150103,Miami Heat,79,Houston Rockets,115,"18,338",Toyota Center
16,20150103,Utah Jazz,101,Minnesota Timberwolves,89,"13,702",Target Center
17,20150103,Washington Wizards,92,San Antonio Spurs,101,"18,581",AT&T Center
18,20150103,Memphis Grizzlies,85,Denver Nuggets,114,"16,350",Pepsi Center
19,20150103,Atlanta Hawks,115,Portland Trail Blazers,107,"19,829",Moda Center
20,20150103,Philadelphia 76ers,91,Los Angeles Clippers,127,"19,060",STAPLES Center
21,20150104,Dallas Mavericks,109,Cleveland Cavaliers,90,"20,562",Quicken Loans Arena
22,20150104,Sacramento Kings,95,Detroit Pistons,114,"12,254",The Palace of Auburn Hills
23,20150104,Brooklyn Nets,84,Miami Heat,88,"20,181",AmericanAirlines Arena
24,20150104,Milwaukee Bucks,95,New York Knicks,82,"19,812",Madison Square Garden (IV)
25,20150104,Toronto Raptors,109,Phoenix Suns,125,"17,166",US Airways Center
26,20150104,Indiana Pacers,87,Los Angeles Lakers,88,"18,997",STAPLES Center
27,20150105,Cleveland Cavaliers,92,Philadelphia 76ers,95,"17,771",Wells Fargo Center
28,20150105,Charlotte Hornets,104,Boston Celtics,95,"16,720",TD Garden
29,20150105,Dallas Mavericks,96,Brooklyn Nets,88,"17,732",Barclays Center
30,20150105,Houston Rockets,105,Chicago Bulls,114,"21,510",United Center
31,20150105,New York Knicks,83,Memphis Grizzlies,105,"16,888",FedEx Forum
32,20150105,Denver Nuggets,110,Minnesota Timberwolves,101,"10,386",Target Center
33,20150105,Washington Wizards,92,New Orleans Pelicans,85,"16,182",Smoothie King Center
34,20150105,Indiana Pacers,105,Utah Jazz,101,"17,378",EnergySolutions Arena
35,20150105,Los Angeles Lakers,94,Portland Trail Blazers,98,"19,827",Moda Center
36,20150105,Oklahoma City Thunder,91,Golden State Warriors,117,"19,596",Oracle Arena
37,20150105,Atlanta Hawks,107,Los Angeles Clippers,98,"19,060",STAPLES Center
38,20150106,Phoenix Suns,102,Milwaukee Bucks,96,"12,311",BMO Harris Bradley Center
39,20150106,Detroit Pistons,105,San Antonio Spurs,104,"18,581",AT&T Center
40,20150107,New Orleans Pelicans,94,Charlotte Hornets,98,"15,171",Time Warner Cable Arena
41,20150107,Houston Rockets,105,Cleveland Cavaliers,93,"20,562",Quicken Loans Arena
42,20150107,Milwaukee Bucks,97,Philadelphia 76ers,77,"10,288",Wells Fargo Center
43,20150107,New York Knicks,91,Washington Wizards,101,"16,902",Verizon Center
44,20150107,Memphis Grizzlies,86,Atlanta Hawks,96,"17,126",Philips Arena
45,20150107,Boston Celtics,89,Brooklyn Nets,81,"16,005",Barclays Center
46,20150107,Utah Jazz,97,Chicago Bulls,77,"21,379",United Center
47,20150107,Detroit Pistons,108,Dallas Mavericks,95,"20,279",American Airlines Center
48,20150107,Orlando Magic,90,Denver Nuggets,93,"13,513",Pepsi Center
49,20150107,Phoenix Suns,113,Minnesota Timberwolves,111,"10,547",Target Center
50,20150107,Oklahoma City Thunder,83,Sacramento Kings,104,"16,037",Sleep Train Arena
51,20150107,Indiana Pacers,102,Golden State Warriors,117,"19,596",Oracle Arena
52,20150107,Los Angeles Lakers,89,Los Angeles Clippers,114,"19,487",STAPLES Center
53,20150108,Charlotte Hornets,103,Toronto Raptors,95,"19,800",Air Canada Centre
54,20150108,Houston Rockets,120,New York Knicks,96,"19,812",Madison Square Garden (IV)
55,20150108,Miami Heat,83,Portland Trail Blazers,99,"19,441",Moda Center
56,20150109,Boston Celtics,103,Indiana Pacers,107,"18,165",Bankers Life Fieldhouse
57,20150109,Philadelphia 76ers,90,Brooklyn Nets,88,"16,172",Barclays Center
58,20150109,Atlanta Hawks,106,Detroit Pistons,103,"18,859",The Palace of Auburn Hills
59,20150109,Memphis Grizzlies,95,New Orleans Pelicans,106,"17,639",Smoothie King Center
60,20150109,Utah Jazz,94,Oklahoma City Thunder,99,"18,203",Chesapeake Energy Arena
61,20150109,Chicago Bulls,86,Washington Wizards,102,"20,356",Verizon Center
62,20150109,Minnesota Timberwolves,84,Milwaukee Bucks,98,"15,480",BMO Harris Bradley Center
63,20150109,Phoenix Suns,95,San Antonio Spurs,100,"18,581",AT&T Center
64,20150109,Denver Nuggets,118,Sacramento Kings,108,"16,029",Sleep Train Arena
65,20150109,Cleveland Cavaliers,94,Golden State Warriors,112,"19,596",Oracle Arena
66,20150109,Orlando Magic,84,Los Angeles Lakers,101,"18,997",STAPLES Center
67,20150110,Charlotte Hornets,110,New York Knicks,82,"19,812",Madison Square Garden (IV)
68,20150110,Dallas Mavericks,100,Los Angeles Clippers,120,"19,060",STAPLES Center
69,20150110,Brooklyn Nets,93,Detroit Pistons,98,"19,301",The Palace of Auburn Hills
70,20150110,Indiana Pacers,92,Philadelphia 76ers,93,"17,496",Wells Fargo Center
71,20150110,Boston Celtics,96,Toronto Raptors,109,"19,800",Air Canada Centre
72,20150110,Milwaukee Bucks,87,Chicago Bulls,95,"21,781",United Center
73,20150110,Utah Jazz,82,Houston Rockets,97,"18,235",Toyota Center
74,20150110,San Antonio Spurs,108,Minnesota Timberwolves,93,"17,871",Target Center
75,20150110,Orlando Magic,92,Portland Trail Blazers,103,"19,546",Moda Center
76,20150111,Washington Wizards,89,Atlanta Hawks,120,"18,057",Philips Arena
77,20150111,Miami Heat,104,Los Angeles Clippers,90,"19,060",STAPLES Center
78,20150111,Phoenix Suns,110,Memphis Grizzlies,122,"17,212",FedEx Forum
79,20150111,Cleveland Cavaliers,84,Sacramento Kings,103,"16,143",Sleep Train Arena
80,20150111,Portland Trail Blazers,106,Los Angeles Lakers,94,"18,997",STAPLES Center
81,20150112,New Orleans Pelicans,100,Boston Celtics,108,"16,905",TD Garden
82,20150112,Houston Rockets,113,Brooklyn Nets,99,"16,115",Barclays Center
83,20150112,Detroit Pistons,114,Toronto Raptors,111,"19,800",Air Canada Centre
84,20150112,Orlando Magic,121,Chicago Bulls,114,"21,302",United Center
85,20150113,Minnesota Timberwolves,110,Indiana Pacers,101,"16,781",Bankers Life Fieldhouse
86,20150113,Atlanta Hawks,105,Philadelphia 76ers,87,"10,466",Wells Fargo Center
87,20150113,San Antonio Spurs,93,Washington Wizards,101,"18,116",Verizon Center
88,20150113,Cleveland Cavaliers,100,Phoenix Suns,107,"16,819",US Airways Center
89,20150113,Golden State Warriors,116,Utah Jazz,105,"19,911",EnergySolutions Arena
90,20150113,Dallas Mavericks,108,Sacramento Kings,104,"15,747",Sleep Train Arena
91,20150113,Miami Heat,78,Los Angeles Lakers,75,"18,997",STAPLES Center
92,20150114,San Antonio Spurs,98,Charlotte Hornets,93,"17,309",Time Warner Cable Arena
93,20150114,Houston Rockets,113,Orlando Magic,120,"16,828",Amway Center
94,20150114,Memphis Grizzlies,103,Brooklyn Nets,92,"16,516",Barclays Center
95,20150114,New Orleans Pelicans,105,Detroit Pistons,94,"12,016",The Palace of Auburn Hills
96,20150114,Philadelphia 76ers,84,Toronto Raptors,100,"19,800",Air Canada Centre
97,20150114,Atlanta Hawks,105,Boston Celtics,91,"16,067",TD Garden
98,20150114,Washington Wizards,105,Chicago Bulls,99,"21,498",United Center
99,20150114,Dallas Mavericks,107,Denver Nuggets,114,"14,022",Pepsi Center
100,20150114,Miami Heat,89,Golden State Warriors,104,"19,596",Oracle Arena
101,20150114,Los Angeles Clippers,100,Portland Trail Blazers,94,"19,441",Moda Center
102,20150115,New York Knicks,79,Milwaukee Bucks,95,"18,689",The O2 Arena
103,20150115,Oklahoma City Thunder,101,Houston Rockets,112,"18,315",Toyota Center
104,20150115,Cleveland Cavaliers,109,Los Angeles Lakers,102,"18,997",STAPLES Center
105,20150116,Detroit Pistons,98,Indiana Pacers,96,"17,558",Bankers Life Fieldhouse
106,20150116,Memphis Grizzlies,106,Orlando Magic,96,"18,141",Amway Center
107,20150116,New Orleans Pelicans,81,Philadelphia 76ers,96,"15,672",Wells Fargo Center
108,20150116,Brooklyn Nets,102,Washington Wizards,80,"17,788",Verizon Center
109,20150116,Chicago Bulls,119,Boston Celtics,103,"18,624",TD Garden
110,20150116,Atlanta Hawks,110,Toronto Raptors,89,"19,800",Air Canada Centre
111,20150116,Golden State Warriors,115,Oklahoma City Thunder,127,"18,203",Chesapeake Energy Arena
112,20150116,Denver Nuggets,89,Dallas Mavericks,97,"20,337",American Airlines Center
113,20150116,Portland Trail Blazers,96,San Antonio Spurs,110,"18,581",AT&T Center
114,20150116,Minnesota Timberwolves,99,Phoenix Suns,110,"17,441",US Airways Center
115,20150116,Los Angeles Lakers,85,Utah Jazz,94,"19,911",EnergySolutions Arena
116,20150116,Miami Heat,95,Sacramento Kings,83,"16,350",Sleep Train Arena
117,20150116,Cleveland Cavaliers,126,Los Angeles Clippers,121,"19,380",STAPLES Center
118,20150117,Indiana Pacers,71,Charlotte Hornets,80,"19,285",Time Warner Cable Arena
119,20150117,Philadelphia 76ers,89,Detroit Pistons,107,"15,496",The Palace of Auburn Hills
120,20150117,Washington Wizards,99,Brooklyn Nets,90,"17,732",Barclays Center
121,20150117,Atlanta Hawks,107,Chicago Bulls,99,"22,024",United Center
122,20150117,Golden State Warriors,131,Houston Rockets,106,"18,458",Toyota Center
123,20150117,Minnesota Timberwolves,113,Denver Nuggets,105,"14,821",Pepsi Center
124,20150117,Portland Trail Blazers,98,Memphis Grizzlies,102,"18,119",FedEx Forum
125,20150117,Los Angeles Clippers,117,Sacramento Kings,108,"16,601",Sleep Train Arena
126,20150118,New Orleans Pelicans,95,Toronto Raptors,93,"19,800",Air Canada Centre
127,20150118,Oklahoma City Thunder,127,Orlando Magic,99,"16,128",Amway Center
